short_name,long_name,age,nationality_name,club_name,player_positions,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,height_cm,weight_kg,preferred_foot
G. Singh,Gurkirat Singh,21,India,Chennaiyin FC,"ST, LW, LM",52,57,120000,500,65.0,56.0,41.0,53.0,27.0,61.0,175,70,Left
L. Vallejo,Luciano Andrés Vallejo,21,Argentina,Atlético Tucumán,CB,58,71,475000,1000,61.0,31.0,37.0,44.0,62.0,55.0,181,74,Right
O. Onyebuchi,Onyebuchi Obasi,20,Nigeria,Vålerenga Fotball,"LW, RW, LM",59,77,600000,750,78.0,50.0,49.0,62.0,22.0,37.0,164,66,Right
Feng Boyuan,Feng Boyuan冯伯元,30,China PR,Qingdao Hainiu FC,ST,59,59,220000,2000,53.0,58.0,37.0,54.0,23.0,67.0,191,85,Right
S. Starke Hedlund,Björn Sebastian Starke Hedlund,30,Sweden,Östers IF,CB,61,61,275000,900,50.0,27.0,41.0,53.0,60.0,65.0,184,79,Right
Luís Rocha,Luís Carlos da Rocha Rodrigues,38,Portugal,Santa Clara,CB,69,69,250000,4000,34.0,31.0,36.0,39.0,70.0,74.0,186,85,Right
T. Akpakoun,Tom Akpakoun,20,France,ESTAC Troyes,"CB, RB",59,73,500000,900,57.0,29.0,40.0,43.0,61.0,60.0,174,65,Right
G. Rulli,Gerónimo Rulli,33,Argentina,Olympique de Marseille,GK,82,82,10000000,35000,,,,,,,189,84,Right
N. Zohoré,Guede Nathan Zohoré,24,France,US Boulogne Cote d'Opale,CB,63,68,650000,1000,52.0,26.0,37.0,46.0,63.0,71.0,188,83,Left
G. Cittadini,Giorgio Cittadini,23,Italy,Frosinone,CB,66,75,1800000,15000,45.0,28.0,42.0,44.0,68.0,59.0,193,75,Right
I. Smith,Ian Smith,22,United States,Portland Timbers,CB,54,63,230000,900,56.0,37.0,44.0,47.0,55.0,57.0,185,77,Left
F. Darisi,Faisal Mohammed Al Darisiفيصل محمد دارسي,28,Saudi Arabia,Al Fateh,CB,53,55,90000,2000,61.0,30.0,41.0,50.0,52.0,64.0,180,79,Left
A. Castellini,Alessio Castellini,22,Italy,Mantova,CB,61,69,700000,600,58.0,23.0,42.0,41.0,63.0,61.0,175,75,Right
Kim Do Hyun,Do-hyun Kim김도현,21,Korea Republic,Gangwon FC,"ST, RW, LM",51,64,140000,700,65.0,47.0,50.0,56.0,29.0,51.0,179,70,Right
J. Butez,Jean Butez,30,France,Como,GK,76,76,5000000,46000,,,,,,,189,75,Right
M. Marran,Mohammed Khalil Maranمحمد مران,24,Saudi Arabia,Al Nassr,"ST, RM",57,64,325000,6000,63.0,56.0,41.0,55.0,20.0,55.0,175,64,Left
K. Miller,K'Marni Miller,19,England,Wigan Athletic,"LB, LM",54,69,240000,500,68.0,33.0,46.0,54.0,49.0,53.0,178,68,Left
P. Kristensen,Pachanga Cassoma Kristensen,18,Denmark,Sønderjyske Fodbold,CB,57,73,400000,1000,62.0,33.0,42.0,54.0,57.0,59.0,187,76,Left
R. Doucouré,Rayane Sami Doucouré,24,Guinea,Red Star FC,CB,58,65,375000,900,54.0,37.0,41.0,47.0,59.0,66.0,183,78,Right
E. Hovland,Even Hovland,36,Norway,IF Brommapojkarna,CB,65,65,130000,1000,36.0,28.0,52.0,44.0,63.0,78.0,191,90,Right
Otávio,Otávio Manoel Galdino Fernandes,19,Brazil,Estrela da Amadora,"CB, LB",58,71,450000,900,58.0,23.0,45.0,54.0,56.0,62.0,183,76,Left
Jo Jun Hyeon,Jun-hyun Jo조준현,21,Korea Republic,Suwon FC,"CM, CAM, ST",50,59,100000,500,57.0,42.0,47.0,51.0,40.0,56.0,184,79,Right
V. Boboy,Verthomy Schilo Boboy,22,Germany,Viktoria Köln,CB,60,69,525000,500,65.0,25.0,36.0,44.0,59.0,71.0,188,83,Right
G. Wallentin,Gabriel Wallentin,24,Sweden,Halmstads BK,CB,63,72,1000000,1000,57.0,25.0,42.0,50.0,63.0,68.0,189,80,Right
Liu Yixin,Liu Yixin刘易鑫,24,China PR,Henan FC,"LB, LM",58,65,400000,2000,72.0,29.0,40.0,43.0,55.0,56.0,180,75,Left
J. Norbye,Jonathan Vonheim Norbye,18,Norway,DSC Arminia Bielefeld,"CB, LB",61,77,775000,5000,46.0,32.0,44.0,45.0,60.0,69.0,194,92,Left
T. Singh,Ngasepam Tondonba Singh,30,India,NorthEast United,"LB, LM",53,53,80000,500,60.0,35.0,37.0,48.0,49.0,59.0,169,67,Left
A. Suryavanshi,Abhishek Dhananjay Suryavanshi,24,India,Mohun Bagan Super Giant,"CM, CDM",51,56,90000,600,51.0,44.0,53.0,55.0,38.0,42.0,175,70,Right
J. Célestine,Julien Albert Marc Célestine,27,France,Arka Gdynia,CB,62,63,400000,1000,45.0,26.0,46.0,51.0,60.0,71.0,191,83,Left
S. Awudu,Sumaila Awudu Dramani,20,Ghana,Clermont Foot 63,"LB, LM",56,68,325000,900,59.0,30.0,44.0,53.0,53.0,57.0,177,66,Left
J. García,José Daniel García Aragón,22,Colombia,Atlético Bucaramanga,CB,62,73,825000,2000,64.0,25.0,37.0,34.0,63.0,72.0,188,70,Left
M. France,Marin Robert France,18,Australia,Sydney FC,"CAM, CM",52,73,250000,850,58.0,46.0,49.0,51.0,37.0,53.0,175,68,Right
M. Al Abdullah,Mohammed Hassan Ahmed Al Abdullah,22,Saudi Arabia,Al Khaleej,"RM, CAM, RW",53,62,210000,3000,61.0,43.0,51.0,53.0,42.0,45.0,170,65,Left
S. Tanasijević,Strahinja TanasijevićСтрахиња Танасијевић,28,Serbia,New York City FC,CB,58,60,210000,1000,43.0,29.0,42.0,50.0,59.0,63.0,183,72,Right
M. Troilo,Mariano Emir Troilo,22,Argentina,Parma,CB,66,79,2000000,6000,43.0,29.0,43.0,45.0,64.0,76.0,194,86,Right
H. Coulibaly,Habib Coulibaly,21,Côte d'Ivoire,TSV Hartberg,CB,59,70,475000,1000,61.0,30.0,36.0,37.0,60.0,64.0,186,78,Left
K. Ashraf,Karim Ashraf Ahmed,21,Egypt,Al Akhdoud Saudi Club,ST,53,62,210000,2000,65.0,50.0,39.0,50.0,32.0,65.0,185,86,Right
A. Sîrbu,Adrian Sîrbu,21,Romania,Metaloglobus București,ST,58,66,450000,500,66.0,56.0,42.0,54.0,21.0,57.0,189,75,Right
P. Soma,Pedro Soma,19,United States,San Diego FC,"CDM, CM",50,63,110000,550,58.0,40.0,46.0,49.0,47.0,54.0,177,75,Right
T. Rowe,Triston Rowe,18,England,FC Annecy,"RB, RM",60,80,650000,8000,66.0,26.0,47.0,52.0,60.0,52.0,183,70,Right
M. Boukamir,Mehdi Boukamirمهدي بوقامير,21,Morocco,Royal Charleroi Sporting Club,CB,62,76,925000,2000,62.0,25.0,39.0,51.0,63.0,62.0,188,78,Right
L. Khiangte,Lalrinfela Khiangte,25,India,Odisha FC,CM,48,53,70000,500,59.0,34.0,49.0,49.0,40.0,52.0,171,69,Right
J. Ajayi,Junior Ajayi,20,Côte d'Ivoire,Hellas Verona FC,ST,56,70,350000,2000,66.0,56.0,49.0,58.0,17.0,49.0,183,75,Right
D. Kubatta,David Kubatta,21,Germany,WSG Tirol,CB,62,70,825000,2000,58.0,32.0,43.0,39.0,61.0,69.0,196,87,Right
I. Stoica,Ionuț Stoica,37,Romania,FC Hermannstadt,CB,68,68,220000,2000,40.0,23.0,38.0,42.0,66.0,86.0,186,83,Left
J. Gaines,Julian Gaines,22,United States,Nashville SC,"RB, RM",56,63,275000,1000,70.0,24.0,44.0,51.0,52.0,60.0,178,73,Right
M. Adu-Poku,Michael Adu-Poku,19,England,Barrow,ST,55,67,300000,3000,80.0,51.0,40.0,57.0,18.0,62.0,188,80,Right
M. Khalifa,Majed Khalifa,21,Saudi Arabia,Al Kholood,ST,52,62,180000,2000,74.0,48.0,38.0,51.0,31.0,55.0,179,70,Right
O. Verhoeven,Oscar Anthony Verhoeven,19,United States,San Diego FC,"RB, LB, RM",56,76,375000,900,68.0,32.0,44.0,52.0,53.0,54.0,183,74,Right
J. Al Hassan,Jawad Al Hassan,21,Saudi Arabia,Damac FC,"RM, RW",51,61,130000,2000,59.0,44.0,45.0,52.0,43.0,51.0,175,70,Right
K. Nassiri,Kiyan Nassiri Giri,24,India,Mohun Bagan Super Giant,"ST, RM, CM, CAM",55,58,170000,650,54.0,57.0,46.0,58.0,21.0,51.0,178,65,Right
D. Deisadze,Diego Deisadzeდიეგო დეისაძე,20,Georgia,Bruk-Bet Termalica Nieciecza,ST,57,66,375000,700,61.0,56.0,40.0,54.0,24.0,61.0,193,93,Left
A. Pradhan,Ashis Pradhan,26,India,Punjab FC,"CM, CDM, LM",50,50,50000,500,53.0,44.0,51.0,49.0,47.0,51.0,175,70,Right
O. Kapsimalis,Oliver Kapsimalis,18,Sweden,Halmstads BK,"RW, RM",55,71,325000,500,63.0,53.0,51.0,56.0,25.0,44.0,177,68,Right
R. Holten,Rasmus Holten,20,Norway,SK Brann,CB,57,74,400000,850,54.0,32.0,44.0,50.0,54.0,65.0,195,80,Right
Djayson Mendes,Djayson Eduardo Cardoso Mendes,21,Portugal,SV Waldhof Mannheim,"ST, RW",57,67,375000,500,70.0,57.0,49.0,60.0,17.0,41.0,175,70,Left
O. Sowunmi,Omar Kolawole Olufemi Sowunmi,29,England,Bromley,CB,62,62,325000,600,52.0,36.0,36.0,38.0,60.0,79.0,199,93,Right
M. Bogićević,Mihailo Bogićević,27,Switzerland,HJK Helsinki,CB,62,65,450000,5000,68.0,26.0,37.0,52.0,62.0,66.0,191,82,Right
C. Tchouante,Christian Tchouante,19,Cameroon,Mjällby AIF,CB,58,69,400000,800,75.0,24.0,40.0,46.0,57.0,61.0,180,69,Right
P. Mollica,Piero Gianfranco Mollica Cacique,20,Venezuela,Caracas FC,"RB, CB, RM",59,72,525000,2000,64.0,27.0,39.0,52.0,61.0,55.0,183,71,Right
T. Kurt,Taycan Kurt,17,Germany,Hannover 96,"LW, ST, RW, LM",55,75,350000,2000,74.0,48.0,48.0,57.0,25.0,47.0,188,75,Right
G. Güvenç,Günay Güvenç,33,Türkiye,Galatasaray SK,GK,75,75,1800000,27000,,,,,,,187,85,Right
P. Farquharson,Priestley Tyler Heginbottom Farquharson,28,England,Walsall,CB,62,62,350000,950,62.0,33.0,38.0,41.0,61.0,74.0,191,93,Right
M. Ćelić,Maks Ćelić,29,Croatia,Csíkszereda Miercurea Ciuc,CB,59,59,190000,550,54.0,30.0,42.0,44.0,57.0,68.0,191,81,Right
A. Quinn,Andrew Quinn,23,Republic of Ireland,Drogheda United,"CB, RB, RM",59,63,300000,500,52.0,28.0,47.0,43.0,58.0,66.0,188,76,Right
A. Gundersen,Andreas Hegdahl Gundersen,25,Norway,KFUM-Kameratene Oslo,ST,57,62,240000,850,75.0,56.0,42.0,53.0,19.0,54.0,182,78,Right
B. Ogbus,Bruno Ifechukwu Ogbus,19,Switzerland,SC Freiburg,"CB, RB",59,76,550000,3000,65.0,27.0,41.0,49.0,59.0,59.0,185,84,Right
Bruno Fernandes,Bruno Vilela Carvalho Fernandes,19,Portugal,Sheffield Wednesday,ST,53,69,240000,1000,69.0,52.0,44.0,54.0,19.0,51.0,180,71,Right
N. Biner,Nevio Biner,18,Switzerland,FC Sion,"CB, CDM, CM",56,73,350000,1000,68.0,38.0,43.0,44.0,57.0,55.0,187,80,Right
K. Tzolakis,Konstantinos TzolakisΚωνσταντίνος Τζολάκης,22,Greece,Olympiacos FC,GK,79,86,30500000,18000,,,,,,,193,80,Right
L. Fanai,Lalremtluanga Fanai,20,India,Bengaluru FC,"CM, CDM",50,62,110000,500,60.0,44.0,45.0,53.0,45.0,55.0,178,68,Right
A. Bród,Alan Bród,20,Poland,GKS Katowice,"CAM, CM",55,65,275000,750,63.0,43.0,54.0,56.0,28.0,45.0,177,72,Left
S. Al Essa,Sultan Al Essa,20,Saudi Arabia,Al Riyadh,"RB, RM",50,60,100000,1000,62.0,40.0,47.0,49.0,42.0,50.0,174,70,Right
Park Kyu Min,Kyu-min Park박규민,24,Korea Republic,Jeonbuk Hyundai Motors,"RM, LM, CAM, RW",55,61,200000,1000,67.0,51.0,47.0,58.0,23.0,52.0,180,71,Right
A. Barrionuevo,Alan Enzo David Barrionuevo,28,Argentina,Tigre,CB,66,66,725000,5000,55.0,22.0,35.0,37.0,67.0,76.0,188,83,Left
M. Mion,Mathieu Mion,24,France,Grenoble Foot 38,"LB, LM",57,62,230000,1000,64.0,29.0,34.0,50.0,60.0,52.0,179,66,Left
B. Riesselmann,Bernd Riesselmann,19,Germany,VfL Osnabrück,ST,58,68,450000,500,60.0,58.0,42.0,55.0,18.0,59.0,189,78,Right
M. Bakkenget,Martin Bakkenget,17,Norway,Sarpsborg 08 FF,ST,56,74,350000,600,71.0,56.0,44.0,56.0,19.0,48.0,182,71,Right
C. McGuckin,Ciaran Reece McGuckin,21,Northern Ireland,Rotherham United,"ST, RM",56,68,350000,650,60.0,56.0,42.0,53.0,16.0,59.0,188,70,Right
D. Basset,Donovan Basset,21,France,Sporting Club Bastia,CB,57,64,300000,800,63.0,31.0,41.0,40.0,58.0,60.0,186,70,Left
S. Lawal,Samson Adeniran Lawal,21,Nigeria,Livingston FC,"CAM, CM",52,65,200000,800,62.0,45.0,51.0,58.0,32.0,37.0,165,65,Right
L. Jackson,Lachlan Robert Tua Jackson,30,Australia,Melbourne Victory,"CB, LB",66,66,700000,4000,44.0,26.0,42.0,45.0,65.0,78.0,196,90,Left
I. Răducan,Iustin Alexandru Răducan,19,Romania,Asociația Clubul Sportiv Petrolul 52,ST,54,64,230000,500,74.0,53.0,44.0,55.0,20.0,44.0,177,68,Right
R. Caicedo,Royer Caicedo,19,Colombia,Atlético Nacional,CB,60,79,600000,3000,76.0,23.0,34.0,37.0,62.0,70.0,193,80,Left
Kim Jin Ho,Jin-ho Kim김진호,19,Korea Republic,Jeju United FC,"CAM, CM",51,70,150000,700,68.0,40.0,47.0,51.0,40.0,52.0,177,72,Right
K. Al Absi,Khalil Ibrahim Alabsiخليل إبراهيم العبسي,24,Saudi Arabia,Al Riyadh,"LM, LW, RM",55,61,200000,2000,75.0,46.0,48.0,56.0,29.0,47.0,171,63,Right
A. Etri,Ahmed Etri,20,Germany,TSG 1899 Hoffenheim II,"RW, RM",57,69,400000,600,70.0,47.0,49.0,64.0,25.0,40.0,179,72,Right
Huang Shan,Huang Shan黄山,19,China PR,Dalian Yingbo,CM,48,68,130000,750,63.0,43.0,44.0,51.0,44.0,44.0,165,63,Right
L. Mendonça,Lucca Mendonça,17,Brazil,Peterborough United,"CB, CDM",54,70,250000,500,62.0,31.0,45.0,47.0,52.0,62.0,183,71,Right
T. Köhler,Tim Köhler,20,Germany,VfB Stuttgart II,CB,61,73,750000,600,54.0,32.0,40.0,44.0,62.0,63.0,191,81,Right
Wang Dongsheng,Wang Dongsheng王东升,28,China PR,Chengdu Rongcheng,"RB, LB, RM",58,58,180000,3000,69.0,26.0,43.0,55.0,53.0,51.0,179,67,Left
A. Singh,Tekcham Abhishek Singh,20,India,Mohun Bagan Super Giant,"LB, RB, LM",53,63,200000,500,60.0,33.0,41.0,48.0,50.0,54.0,168,65,Right
R. Nyakossi,Roggerio Nyakossi,21,Switzerland,Oud-Heverlee Leuven,CB,61,72,700000,2000,56.0,26.0,41.0,43.0,59.0,77.0,194,91,Right
S. Mathisen,Sebastian Holm Mathisen,20,Norway,Sandefjord Fotball,"RW, RM",56,74,375000,750,64.0,51.0,52.0,57.0,25.0,40.0,177,72,Left
U. Çakır,Uğurcan Çakır,29,Türkiye,Galatasaray SK,GK,80,82,17500000,38000,,,,,,,191,82,Right
A. Paluszek,Aleksander Paluszek,24,Poland,GKS Katowice,CB,65,70,975000,2000,51.0,27.0,43.0,45.0,64.0,72.0,191,81,Right
S. Das,Sourav Das,29,India,Jamshedpur FC,"CDM, CM, CAM",54,54,90000,500,34.0,36.0,49.0,51.0,48.0,66.0,173,72,Right
S. Čestić,Sava-Arangel CesticСава Аранђел Честић,24,Serbia,Heracles Almelo,CB,64,68,750000,3000,43.0,28.0,42.0,45.0,63.0,78.0,192,87,Right
M. Sulaiman,Mohammed Sulaiman Mohammed Bakorمحمد سليمان,21,Saudi Arabia,Al Ahli SFC,"RB, LB, CB, RM",57,65,350000,4000,64.0,32.0,43.0,41.0,59.0,62.0,180,70,Right
F. Rawson,Farrend James Rawson,28,England,Accrington Stanley,CB,61,61,275000,700,49.0,32.0,41.0,40.0,62.0,75.0,193,73,Right
M. Burton,Micah Aiden Burton,19,United States,Austin FC,"CAM, CM",53,71,240000,750,66.0,46.0,48.0,60.0,31.0,39.0,172,68,Right
L. Liș,Marian Laurențiu Liș,20,Romania,Metaloglobus București,"LW, LM",57,65,350000,500,73.0,47.0,50.0,60.0,24.0,45.0,177,72,Left
L. Madej,Leon Madej,19,Poland,Widzew Łódź,"CDM, CM",52,64,180000,950,64.0,34.0,48.0,49.0,49.0,54.0,181,77,Right
L. Alvheim,Leander Næss Alvheim,20,Norway,Kristiansund BK,ST,58,71,500000,700,60.0,58.0,44.0,56.0,24.0,58.0,193,76,Right
Yoon Hyun Seok,Hyun Seok Yoon,21,Korea Republic,Jeonbuk Hyundai Motors,"CAM, CM",48,58,110000,900,66.0,39.0,49.0,45.0,36.0,54.0,178,71,Right
Z. Bawa,Steve Zishim Bawa,23,Nigeria,Drogheda United,"ST, LM, LW",54,59,160000,500,69.0,53.0,47.0,55.0,22.0,51.0,180,73,Left
E. Gökçek,Enes Melih Gökçek,18,Türkiye,Kayserispor,"RB, RM",57,72,375000,1000,58.0,32.0,41.0,52.0,57.0,53.0,178,65,Right
E. Neira,Ezequiel Nicolás Neira,24,Argentina,Carabobo FC,CB,66,70,1100000,5000,51.0,27.0,36.0,40.0,66.0,75.0,188,83,Right
J. Miles,Josh Miles,18,England,Waterford FC,"LM, LW",55,64,275000,500,68.0,48.0,49.0,57.0,29.0,43.0,174,65,Left
L. Apold-Aasen,Lorents Apold-Aasen,18,Norway,Vålerenga Fotball,ST,55,75,350000,500,64.0,53.0,44.0,53.0,19.0,64.0,189,80,Left
Bernardo Morgado,Bernardo Gil Coutinho Morgado,27,Portugal,Degerfors IF,CB,62,64,425000,950,60.0,24.0,39.0,54.0,60.0,72.0,187,80,Right
Liao Rongxiang,Liao Rongxiang廖荣祥,20,China PR,Chengdu Rongcheng,CM,47,52,70000,1000,66.0,37.0,47.0,48.0,40.0,51.0,172,68,Right
S. Rajab,Saif Rashad Mohamed Rajabسيف رشاد محمد,20,Saudi Arabia,Al Qadsiah FC,"LM, RM, LW",56,70,350000,4000,83.0,43.0,48.0,60.0,24.0,38.0,166,60,Right
L. Albarracin,Lorenzo Albarracin,18,Argentina,Instituto Atlético Central Córdoba,"LW, RW, LM",55,75,350000,1000,74.0,49.0,51.0,56.0,21.0,46.0,170,63,Left
L. Strobl,Lars Strobl,20,Germany,TSG 1899 Hoffenheim II,"RB, CB, RM",57,71,375000,500,55.0,30.0,38.0,44.0,60.0,61.0,189,85,Right
T. Sousa,Travian Anthony Sousa,23,United States,Seattle Sounders FC,"LB, LM",54,61,210000,900,74.0,28.0,40.0,54.0,47.0,63.0,180,81,Left
E. Yeboah,Ephraim Yeboah,18,Italy,Bristol City,"RM, RW",58,73,475000,4000,82.0,53.0,48.0,58.0,18.0,40.0,177,63,Right
D. Diaw,El Hadji Pape Djibril Diaw,30,Senegal,FC Botoşani,CB,62,62,325000,950,45.0,27.0,36.0,44.0,60.0,77.0,195,91,Left
N. Prabhu,Nikhil N Prabhu,24,India,Punjab FC,"CDM, CM",53,60,180000,500,42.0,44.0,49.0,55.0,49.0,55.0,176,68,Right
C. Lutz,Charlie Lutz,20,England,Cork City,ST,55,63,275000,500,70.0,53.0,43.0,57.0,20.0,53.0,180,66,Right
M. Marchisano,Matteo Marchisano,20,Italy,Avellino,"RB, RM",59,69,475000,500,63.0,26.0,43.0,51.0,59.0,58.0,186,75,Right
Thiago Balieiro,Thiago Balieiro,22,Brazil,Vitória SC,CB,60,73,575000,2000,56.0,31.0,34.0,44.0,61.0,64.0,190,74,Right
Wang Yang,Wang Yang王玚,32,China PR,Zhejiang FC,CB,54,54,70000,2000,54.0,33.0,44.0,47.0,53.0,63.0,189,74,Right
K. Berkoe,Kevin Nana Yaw Berkoe,23,England,Salford City,"LB, LM",56,63,275000,550,78.0,28.0,40.0,50.0,51.0,60.0,178,69,Left
H. Patre,Harsh Shailesh Patre,22,India,FC Goa,"CM, CDM",49,60,100000,500,49.0,43.0,44.0,48.0,48.0,54.0,176,64,Right
S. Balhareth,Saif Mohammed Saleh Qawan Balhareth,19,Saudi Arabia,Al Akhdoud Saudi Club,CM,51,64,140000,2000,60.0,39.0,48.0,53.0,44.0,47.0,178,70,Right
G. Arias,Gabriel Arias Arroyo,37,Chile,Racing Club,GK,77,77,1200000,8000,,,,,,,189,85,Right
S. Biller,Sebastian Biller Mikkelsen,18,Denmark,Silkeborg IF,"LW, LM",57,77,450000,2000,67.0,52.0,51.0,58.0,22.0,42.0,172,68,Right
Zheng Chuanhui,Zheng Chuanhui郑传辉,18,China PR,Qingdao Hainiu FC,CM,47,60,110000,650,61.0,37.0,46.0,50.0,39.0,53.0,177,72,Right
Wu Fei,Fei Wu,22,China PR,Henan FC,CM,47,55,100000,1000,61.0,38.0,46.0,48.0,42.0,52.0,175,72,Right
F. Awodesu,Obafemi Fela Awodesu,24,United States,Houston Dynamo,CB,63,70,900000,2000,68.0,22.0,37.0,45.0,63.0,71.0,190,74,Right
M. Kiernan,Matthew Kiernan,18,Republic of Ireland,Cork City,"CB, LB",54,67,230000,500,65.0,27.0,49.0,48.0,53.0,57.0,182,77,Left
N. Pierre,Nelson Pierre,20,United States,Vancouver Whitecaps FC,ST,54,69,250000,900,72.0,49.0,41.0,53.0,22.0,63.0,185,81,Right
Y. Al Shanqeeti,Younes Abdul Karim Ahmed Al Shanqeetiيونس عبدالكريم الشنقيطي,21,Saudi Arabia,Al Ahli SFC,"CDM, CM",53,62,200000,3000,63.0,28.0,44.0,53.0,51.0,62.0,179,70,Right
S. Višić,Stefan Višić,27,Serbia,Metaloglobus București,ST,59,59,240000,600,59.0,57.0,45.0,53.0,18.0,57.0,184,80,Right
C. Sima,Cristian Sima,18,Romania,FCV Farul Constanța,"RW, RM, CAM",55,68,300000,500,69.0,47.0,52.0,56.0,25.0,42.0,183,77,Right
M. Schultz,Michael Schultz,32,Germany,Rot-Weiss Essen,CB,65,65,475000,850,41.0,26.0,44.0,51.0,64.0,79.0,194,88,Right
N. Talbot,Nathan Talbot,17,France,Amiens SC,"RB, RM",54,69,230000,500,60.0,27.0,49.0,54.0,50.0,51.0,170,70,Right
J. Harkass,Jamal Harkass,29,Morocco,Damac FC,CB,57,57,140000,4000,57.0,31.0,42.0,39.0,59.0,61.0,186,80,Right
O. Kensdale,Oliver James Kensdale,25,England,Barnet,CB,58,63,275000,500,58.0,26.0,44.0,45.0,56.0,70.0,191,85,Right
T. Engebakken,Torjus Embergsrud Engebakken,18,Norway,Fredrikstad FK,"CB, CDM",57,76,400000,500,62.0,30.0,39.0,50.0,57.0,57.0,181,70,Right
R. Rojas,Fabio Renato Rojas Prieto,25,Peru,Atlético Grau,"CB, RB",63,68,625000,3000,55.0,23.0,42.0,41.0,65.0,61.0,176,63,Right
Duan Dezhi,Duan Dezhi段德智,23,China PR,Yunnan Yukun,"CDM, CM",49,55,70000,800,63.0,32.0,45.0,45.0,44.0,57.0,186,64,Right
T. Pittino,Tommaso Pittino,20,Italy,Mantova,CB,61,69,675000,3000,59.0,30.0,42.0,45.0,61.0,62.0,185,78,Right
L. Blondeau,Luca Blondeau,19,Netherlands,FC Volendam,CB,56,69,325000,1000,61.0,30.0,41.0,51.0,57.0,58.0,194,80,Right
D. Isso,David Isso,17,Sweden,IF Brommapojkarna,ST,56,73,350000,600,67.0,55.0,39.0,54.0,18.0,58.0,184,75,Right
A. Bibout,Aaron Banind Bibout,20,Cameroon,KRC Genk,ST,59,73,550000,3000,58.0,60.0,37.0,55.0,20.0,56.0,193,83,Right
M. Mile,Mohammed Mile,25,Saudi Arabia,Al-Najma SC,"RW, RM",55,58,170000,2000,65.0,53.0,42.0,62.0,24.0,42.0,170,67,Right
Choi Seok Hyun,Seok-hyeon Choi최석현,22,Korea Republic,Ulsan HD FC,"CB, RB",57,60,200000,1000,72.0,25.0,27.0,41.0,57.0,66.0,178,78,Right
K. Potulski,Kacper Potulski,17,Poland,1. FSV Mainz 05,CB,62,82,1000000,3000,60.0,29.0,36.0,41.0,62.0,69.0,195,85,Right
O. Al Ruwaili,Omar Damen Al Ruwailiعمر ضامن الرويلي,26,Saudi Arabia,Al-Najma SC,ST,54,57,140000,2000,60.0,54.0,42.0,53.0,19.0,56.0,182,68,Right
D. Bordun,Denis Bordun,19,Romania,Oțelul Galați,"RW, RM",54,69,250000,550,66.0,50.0,48.0,55.0,25.0,48.0,175,71,Right
H. Douglas,Hamish Douglas,20,England,Rotherham United,"CB, CDM",55,69,275000,500,65.0,25.0,44.0,48.0,53.0,63.0,195,75,Right
Jiang Weiyi,Jiang Weiyi江唯一,21,China PR,Shenzhen Peng City,CM,47,54,90000,700,62.0,37.0,47.0,47.0,38.0,55.0,178,75,Right
A. Sahhari,Abdulrahman Nasser Sahhari,20,Saudi Arabia,Al Ettifaq,CB,53,68,210000,2000,58.0,32.0,44.0,47.0,53.0,56.0,176,70,Right
G. Requena,Gonzalo Requena,22,Argentina,Instituto Atlético Central Córdoba,CB,61,68,625000,2000,55.0,29.0,40.0,45.0,61.0,68.0,188,80,Right
Park Jin Young,Jin-young Park박진영,23,Korea Republic,Daegu FC,"CB, CDM, CM",60,71,500000,1000,55.0,27.0,45.0,38.0,57.0,70.0,186,84,Right
S. Kassama,Sheriff Kassama,20,Italy,SSC Bari,CB,59,74,500000,500,60.0,26.0,41.0,45.0,58.0,64.0,189,75,Right
R. Cornwall,Robert Cornwall,30,Republic of Ireland,Bohemian FC,CB,59,59,180000,500,34.0,28.0,47.0,48.0,59.0,66.0,183,86,Right
J. Udoh,Joshua Udoh,17,Nigeria,Al Ain,CM,49,65,120000,1000,58.0,37.0,46.0,51.0,40.0,58.0,182,76,Right
I. Galván Vittar,Ignacio Galván Vittar,20,Argentina,Central Cordoba SdE,CB,60,69,500000,2000,50.0,32.0,38.0,39.0,64.0,65.0,184,78,Right
T. Harris,Taylan Yusuf Kenneth Harris,19,England,Tranmere Rovers,ST,55,69,300000,500,64.0,55.0,42.0,55.0,18.0,54.0,181,75,Right
T. Hoffmann,Tim Hoffmann,20,Germany,Hertha BSC,CB,61,73,750000,2000,63.0,25.0,42.0,45.0,63.0,62.0,184,74,Left
C. Chiappetta,Carmine Soel Chiappetta,22,Switzerland,FC Winterthur,"LM, LW",55,67,300000,1000,73.0,52.0,47.0,58.0,17.0,44.0,175,71,Right
A. Dahal,Awad Dahal,20,Saudi Arabia,Al Ettifaq,"RB, RM",54,67,250000,2000,66.0,33.0,47.0,52.0,49.0,49.0,173,64,Right
E. Qaysi,Emad Qaysi,18,Saudi Arabia,Al Shabab,"LM, RM, LW",52,67,180000,2000,71.0,42.0,46.0,53.0,39.0,51.0,172,65,Right
B. Borowski,Bartosz Borowski,18,Poland,Wisła Płock,"ST, LM",56,69,325000,650,59.0,54.0,40.0,53.0,25.0,63.0,187,76,Right
Z. Zothanpuia,Zothanpuia Zothanpuia,21,India,Mumbai City FC,CM,48,55,90000,500,66.0,41.0,49.0,54.0,36.0,41.0,174,64,Right
O. Nilsson Löv,Olle Nilsson Löv,16,Sweden,Mjällby AIF,ST,54,72,275000,600,65.0,53.0,45.0,55.0,18.0,41.0,178,68,Right
